kod,vyucujici,role,datum,rocnik,program,text
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,16.01.2026,1. ročník,Informatika - Vizuální výpočty a vývoj počítačových her,"Doktor Kučera měl přednášky dobře připravené. Výklad mi připadal trochu monotónní, ale šlo vše z něj velmi dobře pochopit. Oceňuji nahrávání přednášek."
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,15.01.2026,1. Ročník,Informatika - Umělá inteligence,"Zprvu jsem mel k tomuto predmetu pomerne odpor ale P. Kucera ma dobry prednes, pristup, dobre zpracovane materialy. Nakonec byl pro me predmet tedy pomerne zajimavy."
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,14.01.2026,1. Ročník,Informatika - Softwarové a datové inženýrství,"Přednášející očividně ví, o čem mluví a umí to pěkně napsat, znázornit na příkladu a vysvětlit. Za mně dobrý."
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,14.01.2026,1. Ročník,Informatika - Teoretická informatika,"Precizní výklad, na otázky vždy srozumitelně odpovězeno, zkouška spíše jednoduchá, velmi oceňuji veřejné otázky které nás mohou čekat u zkoušky."
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,16.02.2025,1. Ročník,Informatika - Teoretická informatika,"Prednášajúci má jednak vysoko kvalitne pripravené podklady k výučbe, prednáške a zároveň ich veľmi dobre odprezentuje. Radosť navštevovať prednášky o možnostiach a limitoch našich počítačov."
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,16.02.2025,1. ročník,Informatika - Jazykové technologie a počítačová lingvistika,"Kvalitní slajdy pro přípravu na zkoušku. Trochu moc monotónní výklad - ovšem látka jako taková příliš nepomáhá. U zkoušky vyučující působil, že vztah studentů k předmětu chápe a byl co do detailních věcí shovívavý."
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,16.02.2025,1. Ročník,Informatika - Softwarové a datové inženýrství,Přednášející skvěle zvládá podat poměrně abstraktní a zdánlivě těžký na pochopení předmět. Přednášky jsou dobře strukturovány a dají se velmi dobře pochopit i přes zmíněnou povahu předmětu. Oceňuji také transparentnost požadavků ke zkoušce ve formě seznamu všech možných otázek a vstřícnost při hodnocení.
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,05.02.2025,1. Ročník,Informatika - Umělá inteligence,"Pan Kučera má velmi kvalitní materiály. Skvělé je jejich množství. Při přípravě na zkoušku jsem použil vše: slidy, nahrávky i skripta."
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,09.01.2025,1. ročník,Informatika - Umělá inteligence,"Records the lectures, explain even the tiny details. Amazing teacher."
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,18.02.2024,1. ročník,Computer Science - Artificial Intelligence,Never unavailable. Always helpful. Always answering emails and questions from the students. Always patient with the students. Prof. Kučera manages to make teaching seem like less than complex than NP.
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,18.02.2024,1. Ročník,Informatika - Umělá inteligence,"Samotná přednáška mě úplně nebavila, protože často se v přednášce vyskytovaly segmenty, které se probírali již na bakaláři. Ale k přednášce existují i nahrávky a tím pádem možnost zrychlit či přeskočit určité méně záživné pasáže jako známé definice. Naopak velice oceňuji názornost důkazů, kde se ukazují příklady, ale má to i negativum, že důkazy jsou celkem dlouhé a když dokončíte důkaz, tak si občas říkáte, cože jsme to chtěli dokázat."
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,17.02.2024,4. ročník,Informatika,Pan dr. Kučera přednáší pěkně. Někdy je to ale trochu hodně monotónní až uspávající. Na druhou stranu musím ocenit studijní materiály.
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,15.02.2024,2. Ročník,Učitelství matematiky pro střední školy,"Přednášky pana doktora Kučery byly celkově v pořádku. Během přednášek se pravidelně vracel k již probraným záležitostem pro připomenutí, což mi velice pomohlo se lépe zorientovat v učivu a celkově o daných záležitostech mluvil dosti zajímavě. Akorát jeho výklad působí (na můj vkus) občas dost monotónně. Určitě nebude na škodu, pokud toto přednášející do budoucna zlepší. :)"
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,14.02.2024,1. ročník,Informatika - Diskrétní modely a algoritmy,"Vše v pořádku, oceňuji extrémně dobré materiály pro samostudium."
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,14.02.2024,1. Ročník,Computer Science - Artificial Intelligence,"Professor Kučera is remarkably easy-going and forthright. Initially, he introduces us to the problems at hand, followed by a quick discussion of solving techniques without revealing the answers outright. Subsequently, we delve into the questions, creating a well-balanced communication flow within the class. The dynamics are skillfully managed, avoiding dominance either from the teacher or the students. Moreover, when faced with moments where students may not immediately know the answers, Professor Kučera patiently allows us ample time before offering hints. Professor Kučera actively encourages us to generate answers, gently guiding discussions and handling incorrect trains of thought with a thoughtful approach, investigating them further to provide proper clarification instead of simply shunning them as wrong. Additionally, Professor Kučera's commitment to student understanding extends beyond the class hours. He graciously stayed after class to address my doubts, even if they were small, offering further clarification. Overall, his teaching style is not only effective but also inspiring."
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,13.02.2024,1. ročník,Informatika - Jazykové technologie a počítačová lingvistika,"Asi nejlepší materiály, jaké jsem kdy viděl. Slajdy jsou úžasné a doplňují je klasická skripta."
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,31.01.2024,1. ročník,Informatika - Softwarové a datové inženýrství,"Připravený přednášející, dobrý výklad a velmi dobře zpracované prezentace, ze kterých se dalo skvěle připravit na zkoušku, skripta jsem ani nepotřeboval otevřít. U zkoušky se snaží dovést studenta ke správnému řešení, což je také dobrý přístup."
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,30.01.2024,2. ročník,Informatika - Umělá inteligence,"Skvěle vedená přednáška. Velmi precizní, vše dopředu a skvěle připraveno. Dr. Kučera odvedl skvělou práci!!"
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,22.01.2024,1. ročník,Informatika - Umělá inteligence,"Na přednáškách bylo vidět, že doktora Kučeru téma baví a zajímá. Přišlo mi, že vše podával pochopitelným způsobem a dával prostor na dotazy. Byl jsem trošku zklamaný ze zkoušky, kde pan Kučera působil otráveně. Většinou u zkoušejících vídávám větší nadšení a milost při zkoušce. Přísnost by mi nevadila, ale v tomto případě šlo spíš o znechucení. Ale třeba to byl ojedinělý případ."
NTIN090,"RNDr. Petr Kučera, Ph.D.",přednáška,05.01.2024,1. ročník,Computer Science - Language Technologies and Computational Linguistics,"In general, it's well-explained through the presentations, but sometimes it's difficult to follow the demonstration because you are lost in the new terms and the lecturer barely points out which information is important. Considering the common length of presentation slides (50-90 slides), the whole material is very scattered and lacks some organization into compact and informative tables/lists. Once, I managed to find the same information from the lectures on a similar academic course presentation from Brno University available online and it was way more convenient to go through. However, the amount of slides is justified by the depth of material coverage - it's very informative and detailed."
NTIN090,"Mgr. Vladan Majerech, Dr.",cvičení,15.02.2026,1. ročník,Informatika - Softwarové systémy,"Docela to šlo, ale někdy jsem se trochu ztrácel. Domácí úlohy byly fajn :)"
NTIN090,"Mgr. Vladan Majerech, Dr.",cvičení,14.02.2026,1. Ročník,Informatika - Diskrétní modely a algoritmy,Vladan Majerech umí zaujmout a vysvětluje i složité věty velmi intuitivně. Oceňuji využití Sovy k odevzdávání domácích úkolů.
NTIN090,"Mgr. Vladan Majerech, Dr.",cvičení,21.01.2025,1. ročník,Informatika - Softwarové a datové inženýrství,"Cvičení u Vladana mají dobrý mix přednášení a společné práce. Oceňuji, že jednou uznal, že asi zašel až daleko se složitostí jednoho příkladu. Domácích úkolů moc nebylo, bylo potřeba se víc zamyslet a na něco přijít, asi dobrý kontrast oproti třeba Datovým strukturám."
NTIN090,"Mgr. Vladan Majerech, Dr.",cvičení,31.01.2024,1. ročník,Informatika - Softwarové a datové inženýrství,"Cvičení bylo poměrně pokročilé. Trochu jsem se ztrácel v tom, co se po nás vlastně chce, většinou se však vše vysvětlilo a ukázalo. Úlohy na zápočet byly přiměřeně obtížné a cvičící opravoval úkoly rychle, zápočet nebyl problém získat. Za trochu nešťastné považuji upozorňování na to, že bychom podle cvičícího ""neprošli u státnic"", když jsme něco nevěděli. To zmiňuji hlavně proto, že mi to přijde demotivující. Navíc tento předmět (alespoň pro mě) není státnicový, to považuji za velké plus."
NTIN090,"Mgr. Vladan Majerech, Dr.",cvičení,22.01.2024,1. ročník,Informatika - Umělá inteligence,"Doktor Majerech skvěle rozumí tématu, o tom nebylo pochyb. Bohužel nebyl moc připravený na hodiny. Většinou začínal otázkou ""co jste dělali na přednášce?"", což by mi nevadilo. Přijde mi to jako dobrá nabuzovací otázka, aby člověk fakt na ty přednášky chodil a dával pozor. Jenže by bylo dobré pro jistotu odpověď vědět. Taky se stávalo, že jsme řekli, co se dělalo na přednášce, a cvičící si toho zrovna k tématu moc nepamatoval/prišlo mu to nezajímavé, takže jsme dělali něco jiného. Dr. Majerech může působit přísněji, když někoho ""donutí"" u tabule vyřešit problém, o kterém nemá páru, jak se řeší, ale přijde mi, že ve výsledku je to užitečné a vede to k aktivnějšímu přístupu. Oprava úkolů byla férová a poměrně rychlá. Když jsem měl něco špatně, cvičící to jasně a stručně popsal. Ke konci semestru už nás přímo na cvičení chodilo jen pár, což mi přijde jako škoda. Myslím si, že to bylo dané právě nepřipraveností cvičícího a tím, že jsme se moc nedrželi přednášek."
NTIN090,,cvičení,15.02.2026,1. Ročník,Informatika - Umělá inteligence,"Cvičení skvěle navazují na přednášku, domácí úkoly působí jako příjemné zopakování ze cvičení."
NTIN090,,cvičení,15.02.2026,1. Ročník,Computer Science - Discrete Models and Algorithms,I unfortunately could attend only a few classes due to overlap but those were very good and homeworks interesting and useful for a better understanding of the matter.
NTIN090,,cvičení,15.02.2026,1. Ročník,Computer Science - Artificial Intelligence,Sometimes is hard to follow the practicals exercises
NTIN090,,cvičení,14.02.2026,1. ročník,Informatika - Softwarové systémy,"Hezká cvičení, kde si vyzkoušíte aplikovat přednesená témata. Bohužel stejně jako u přednášky moc nechápu, proč je předmět povinný pro všechny Mgr. studenty."
NTIN090,,cvičení,06.02.2026,1. Ročník,Informatika - Teoretická informatika,"Cvičení mě na rozdíl o přednášek velmi bavila, jediné snad tak čas na začátku na vyřešení (první) ulohy bych zkrátil nebo se aspoň více ptal, jak se studentům daří, ať se pak nečeká zbytečně."
NTIN090,,cvičení,29.01.2026,1. ročník,Informatika - Softwarové systémy,"Nebylo to moc těžké, ale příliš mi to nepomohlo si ucelit látku z přednášky"
NTIN090,,cvičení,14.01.2026,1. Ročník,Informatika - Softwarové a datové inženýrství,"Tento předmět si rozhodně zaslouží jít aspoň na pár z cvičení, jelikož ne všechny koncepty jsou ihned jasné z přednášek."
NTIN090,,cvičení,13.01.2026,2. Ročník,Učitelství matematiky pro střední školy,Skvěle strukturovaný předmět se všemi potřebnými materiály. Zejména oceňuji zajímavé domácí úlohy a systém hodnocení.
NTIN090,,cvičení,21.01.2025,1. ročník,Informatika - Softwarové a datové inženýrství,"Cvičení jenom jednou za dva týdny je docela nezvyk. Na druhou stranu vzhledem k charakteru zkoušky asi není třeba nějak drtit počítací příklady. A pokud není něco jasné, stačí přijít příští týden na totéž."
NTIN090,,cvičení,18.02.2024,1. ročník,Computer Science - Artificial Intelligence,"Well paced through out the semester, the practicals are well explained in class despite the complexity of the subject (pun intended)."
NTIN090,,cvičení,18.02.2024,1. Ročník,Informatika - Diskrétní modely a algoritmy,"Cvičení mi moc nevyhovovala, přišlo mi, že často přeskakujeme od jednoho tématu k jinému. Řešené příklady byly často velmi složité a bylo těžké sledovat i to, když cvičící předváděl jejich řešení. Naopak musím uznat, že zápočtové příklady byly sice docela složité, ale ne nevyřešitelné. Zabraly mi docela dost času. Na cvičeních se mi moc nelíbilo, že když někdo nevěděl řešení příkladu (jakože vůbec neměl tušení), tak ho cvičící zavolal k tabuli, že se uvidí, co vymyslí. Tento přístup mi nevyhovuje, ale upřesňuji, že to může být jenom můj subjektivní pocit."
NTIN090,,cvičení,14.02.2024,1. Ročník,Computer Science - Artificial Intelligence,The tutorial content is very much in sync with the lectures. It also helps that we had the same teacher for both lectures and tutorials.
NTIN090,,cvičení,31.01.2024,1. ročník,Informatika - Softwarové a datové inženýrství,"Oproti přednáškám mě cvičení moc nebavila. Zaprvé to bylo náročností, zadruhé samotnou látkou. Často jsem některá témata pochopil až při dělání domácích úkolů či při učení na zkoušku."
NTIN090,,cvičení,22.01.2024,1. Ročník,Informatika - Umělá inteligence,"Cvičení k předmětu byly trochu navíc. Občas jsme tématem dost utíkali od látky, což sice bylo zajímavé, ale ne tak důležité."
NTIN090,,cvičení,11.01.2024,2. Ročník,Informatika - Umělá inteligence,"Oceňuji připravené materiály, zveřejňovaná řešení na moodle a přiměřeně obtížné domácí úkoly."
NTIN090,,přednáška,15.02.2026,1. Ročník,Informatika - Umělá inteligence,Předmět působí jako naprosto ideální základy do tematiky.
NTIN090,,přednáška,15.02.2026,1. Ročník,Computer Science - Discrete Models and Algorithms,"The course was really enjoyable. I have had the chance to take a similar course at my bachelor studies in Serbia, but the way it is taught here is muuch better than what I had and I really enjoyed it a lot. The teacher managed to present a lot of the topics and notions in a very intuitive way and we covered a lot of ground in the lectures and talked about quite diverse and interesting topics. I have had a chance to see a lot of people mention their results about NP-completeness, either on conferences or in papers, but I never liked it so much since I didn't understand the topic so deeply. Now, however, this has changed, and I feel like I have a pretty good grasp of the complexity of problems. Selected reductions to some NP-complete problems were also very beautiful and have sparked my interest, so I will now be open to tackling similar problems in the future (in the adequate setting of course, geometry or game theory, which I am interested in). Overall, I really enjoyed the course and am very happy to have taken it (even though I didn't have much choice haha)."
NTIN090,,přednáška,14.02.2026,1. ročník,Informatika - Softwarové systémy,"Obsah přednášky byl vcelku zajímavý, ale pro valnou většinu oborů absolutně neužitečný, vůbec tedy nevím, proč je předmět povinný pro všechny Mgr. obory. Třeba datové struktury se mohou hodit skoro všem, to chápu, ale tohle opravdu ne."
NTIN090,,přednáška,10.02.2026,2. Ročník,Učitelství matematiky pro střední školy,Prostě ADSka III.
NTIN090,,přednáška,06.02.2026,3. Ročník,Informatika,"Ačkoliv jsem dost chválil vyučujícího, tak náplň předmětu mi tedy moc nesedla... Spousta opakování z Automatů a gramatik a hromada formalismů..."
NTIN090,,přednáška,29.01.2026,1. ročník,Informatika - Softwarové systémy,"Nechápu proč je povinný pro všechny na mgr. studiu. Má v sobě zajímavé věci a nezajímavé věci, které se ale vlastně neodráží v praxi nebo byly řečeny už na ostatních předmětech - viz P, NP, převoditelnost, crypto, RAM, Turingovy stroje. Je až příliš technický a obsahuje spoustu detailů, kvůli tomu se učí vstřebává velice náročně a technikality převáží nad ideami důkazů většinou. Nejméně užitečný předmět na mgr. z mého pohledu, pokud nechci studovat teorii."
NTIN090,,přednáška,22.01.2026,1. Ročník,Informatika - Softwarové systémy,"Moc zajímavý předmět, jsem rád, že jsme ho měli :)"
NTIN090,,přednáška,21.01.2026,1. ročník,Informatika - Softwarové a datové inženýrství,"nechapem, preco je to povinny predmet pre vsetkych, za 4 kredity celkom aj narocny"
NTIN090,,přednáška,16.01.2026,1. ročník,Informatika - Vizuální výpočty a vývoj počítačových her,"Předmět je rozhodně zajímavý a dává konečně pořádný vhled do teoretické informatiky po několika brusleních okolo v ADS2, Výrokové a predikátové logice a Automatech a gramatikách. Připadá mi až zvláštní, že se tohle neučí už na bakaláři, protože znát základy složitosti a vyčíslitelnosti mi připadá mnohem důležitější, než třeba zásobníkové automaty."
NTIN090,,přednáška,14.01.2026,1. Ročník,Informatika - Softwarové a datové inženýrství,"Jsem velmi rád za slidy, kde je napsáno to, co se na přednášce bere i ústně. Velmi to zjednodušuje přípravy na zkoušky, jelikož lze jít přímo ke ""zdroji"" pro valnou většinu poznámek. Slidy jsou celkem přehledné, logicky navazují a dělení kapitol i příklady mi přišly fajn."
NTIN090,,přednáška,11.01.2026,1. ročník,Computer Science - Software and Data Engineering,"It was helpful that the lectures were recorded, allowing them to be reviewed later."
NTIN090,,přednáška,16.02.2025,1. ročník,Informatika - Jazykové technologie a počítačová lingvistika,"Pro zvolený magisterský obor nevidím využití či přínos předmětu - což tedy není jeho chyba ale spíš studijních plánů. Na přednáškách působila látka děsivě, u přípravy na zkoušku se situace dost zlepšila."
NTIN090,,přednáška,05.02.2025,1. Ročník,Informatika - Umělá inteligence,"Předmět je dobrý, ale byl by zajímavější, kdyby se víc zaměřoval na intuici. V porovnání se Sipserem z MIT (přednášky na yt) se u nás více řeší drobné technické detaily, které by se někdy daly vypustit. Člověk je stejně pár dnů po zkoušce zapomene. To, co by mělo podle mě zůstat, jsou myšlenky důkazů."
NTIN090,,přednáška,18.02.2024,1. ročník,Computer Science - Artificial Intelligence,"Despite the abstract nature of the subject, the course is well organised in pieces that relate to each other, or mirror each other. The emphasis on the similarity of the concepts simplifies the learning a lot. I had the opportunity to stumble upon Poznamky.pdf. And though I do not read or speak Czech, I couldn't be indifferent to the beauty of the math and how it is well explained there. I wish it was translated into English, or even better, into French."
NTIN090,,přednáška,17.02.2024,4. ročník,Informatika,"Nemyslím si, že tenhle předmět vysvětluje něco zásadního. Většina přednesených poznatků jsou jen těžko přenositelné do čehokoliv jiného než teorie složitosti a vyčíslitelnosti. Výjimky z tohoto tvrzení jsou z velké části předneseny na jiných předmětech (převoditelnost). Teorie vyčíslitelnosti je naprosto odtržená od jakékoliv praxe; formální verifikátory existují navzdory Ricovy větě a na přednášce není dobře vysvětleno, proč tomu tak je. Přednesené výsledky teorie složitosti se také jen stěží týkají praktických algoritmů. Jsem přesvědčen, že můj názor nepramení z nepochopení -- ze zkoušky jsem odcházel se zaslouženou jedničkou. Jediná věc, kterou z přednášek oceňuji, byl úvod do kryptografie, a musím říct, že byl i dobře přednesený panem dr. Kučerou. Celkově samozřejmě nezavrhuju obory teorii složitosti a teorii vyčíslitelnosti a plně uznávám, že tyto obory mají své přínosy, nicméně jsem pevně přesvědčen, že tento předmět je zcela nevhodný jako povinný pro všechny magisterské obory."
NTIN090,,přednáška,15.02.2024,2. Ročník,Učitelství matematiky pro střední školy,"Velice se mi líbí celková koncipace předmětu. Přednášející má velice přehledné a srozumitelné materiály a navíc poskytuje záznamy přednášek z minulých let, což je velice vyhovující pro studenty, kteří přednášky nestíhají (což byl i můj případ). Témata vyučovaná v rámci předmětu skutečně odpovídají základům dané problematiky a u zkoušky nejsou vyžadovány žádné složitější záležitosti."
NTIN090,,přednáška,14.02.2024,1. ročník,Informatika - Diskrétní modely a algoritmy,"Povinná přednáška pro všechny specializace v navazujícím magisterském studiu. Velmi dobré materiály, ve kterých je vše vysvětlené, zajímavý předmět."
NTIN090,,přednáška,14.02.2024,1. Ročník,Computer Science - Artificial Intelligence,"Professor Kučera is very knowledgeable. He knows the contents of his course inside out. Watching his lectures is almost like watching someone freestyle rap about complexity theory. The slides are straightforward but can be a bit hard to get used to. I think it is because of the unavoidable notation, and some abstract concepts of the abstract models of computation -- even though the slides do a good job of keeping things simple. I think that Professor Kučera can try to put a bit more emphasis -- than he already does -- on building an intuition for turning machines, and reducibility techniques to prove undecidability. Being introduced to some of the concepts, I found them too abstract sometimes to start using them in my proofs right away."
NTIN090,,přednáška,31.01.2024,1. ročník,Informatika - Softwarové a datové inženýrství,"Oproti cvičením mi přednášky přišly zajímavé a rád jsem na ně chodil, u části s vyčíslitelností mi nepřijde látka úplně jednoduchá k porozumění, je tam mnoho značení a různých pojmů. Některá z témat se trochu překrývala s jinými předměty (ADS, VaPL), ovšem většina látky byla nová. Víc mě bavila část se složitostí. Myslím si, že by předmět neměl být povinný, ale spíše povinně volitelný. Jde o hodně teoretický předmět a měl by tedy být povinný spíše pro teoretické studijní plány, naopak ve svém plánu bych čekal jiné povinné předměty. Na druhou stranu díky dobrým materiálům byl předmět zvládnutelný."
NTIN090,,přednáška,30.01.2024,2. ročník,Informatika - Umělá inteligence,"Z předmětu jsem měl docela strach a na zkoušku je potřeba se důkladně připravit, protože sice máte dané otázky, při učení ale zjistíte, že vlastně pokrývají většinu předmětu, protože se všude skrývá ještě podstatné množství definic a dalších tvrzení. V momentě, kdy jsem učivo pochopil, mě to začalo bavit, jen jsem na to potřeboval trochu víc času. Stejně bych byl ale raději, kdyby předmět povinný nebyl."
NTIN090,,přednáška,22.01.2024,1. Ročník,Informatika - Umělá inteligence,"K předmětu jsou kvalitní slajdy pokrývající celou látku + i nějaké nahrávky z dřívějška (nepotřeboval jsem). Probíraná témata jsou dost zajímavá, i když občas hůře vstřebatelná. Bylo super, že otázky ke zkoušce jsou online dostupné. Zároveň tak nějak pokrývají celou látku."
NTIN090,,přednáška,05.01.2024,1. ročník,Computer Science - Language Technologies and Computational Linguistics,"The course covers fundamentals of computer science such as turning machines, p/np classes, a bit of functions and graphs. Sometimes there are barely related to the course material slides about Impagliazzo's Five Worlds or Gödel numbers which is pretty interesting. For me as an engineer, it's a hard one due to the theoretical explanations which seem unrelated to some real-world problems. I would like to see more practical examples on some topics, besides algorithms divided into several slides proving a single theorem."
NAIL070,"prof. RNDr. Roman Barták, Ph.D.",přednáška,05.06.2025,2. Ročník,Informatika - Umělá inteligence,Zvládne i nezajímavá témata přednášet zajímavě. Má skvělé příklady. A také skvělé reference na filmy a podobné (rozhodně nejsou rušivé jako u některých jiných vyučujících).
NAIL070,,přednáška,06.06.2025,1. ročník,Informatika - Umělá inteligence,"Myslím, že předmětu by prospělo cvičení. Z UI1 jsem si toho díky němu odnesl více. Ale jinak není co vytknout."
NAIL070,,přednáška,05.06.2025,2. Ročník,Informatika - Umělá inteligence,"Sice o trošilinku lepší než UI 1 (která kopíruje také povinný předmět Úvod do UI trochu víc), ale pořád obsahuje spoustu náhodných témat, která jsou buď zajímavá, takže se o nich pořádně člověk dozví v jiném předmětu (a ještě v několika dalších se o ně zavadí stejně nepoužitelným způsobem jako v tomto předmětu); nebo jsou nezajímavá a pak není úplně veselé, že se o nich musíme povinně učit. Podle mě pro někoho, kdo přišel ze zaměření UI na bakaláři, téměř k ničemu. (Tedy asi trochu záleží na volbě povinně volitelných předmětů na bc (i mgr), ale přijde mi spíše nepravděpodobné, že by spoustu z těchto věcí člověk už nepotkal jinde.)"
NAIL070,,přednáška,29.05.2025,1. Ročník,Informatika - Umělá inteligence,"I find the topics covered in the course very interesting. However, for students who have taken the Bachelor's-level Introduction to Artificial Intelligence course, many of the topics feel repetitive and are only explored in slightly more depth."
NAIL002,"RNDr. František Mráz, CSc.",cvičení,15.02.2026,1. ročník,Informatika - Umělá inteligence,"Vyučující má očividně dobré úmysly. I přes to jsou cvičení kvalitou velmi podprůměrná. Testy, testíky, domácí úkoly i kód na cvičení jsou každý rok recyklovány, často s chybami a bez úpravy pro nový akademický rok (například obsahující řešení)."
NAIL002,"RNDr. František Mráz, CSc.",cvičení,09.01.2026,1. ročník,Informatika - Umělá inteligence,"Na cviceni se trochu probiraji nejake koncepty ze cviceni, ale skoro vse pouze jako toy priklady. Napriklad zadnou poradnou neuronovou sit jsme netrenovali."
NAIL002,"RNDr. František Mráz, CSc.",cvičení,09.02.2025,1. ročník,Informatika - Umělá inteligence,Vždy ochotný pomoci
NAIL002,"RNDr. František Mráz, CSc.",cvičení,09.01.2025,1. ročník,Informatika - Umělá inteligence,Great teacher :)
NAIL002,"RNDr. František Mráz, CSc.",cvičení,18.02.2024,1. ročník,Informatika - Umělá inteligence,"Hodnocení se skládalo ze spousty částí - kvízy, domácí úkoly, průběžné testy, semestrální projekt, body ze cvičení, body z přednášky, zkouška. Ty se pak započítávaly s váhou do zápočtu, nebo zkoušky a výsledek zkoušky byl vážený zápočet a části, co se nepodílely na zápočtu. Navíc jednotlivé body byly nepřehledně rozházeny v moodlu (kde byla spousta starých odkazů z minulých let, které se na letošek nevztahovaly - to je tak časově složité je smazat?). Doporučoval bych celý systém zjednodušit a body psát na jedno místo. Když jsem zjišťoval před zkouškou svůj bodový stav, znamenalo to hledání a počítání na deset minut."
NAIL002,"RNDr. František Mráz, CSc.",cvičení,18.02.2024,1. Ročník,Computer Science - Artificial Intelligence,"Statistical concepts (comparing two NN models) were excellently well explained and formally written (formulas, graphs...) on the board demonstrating an absolute mastery of the subject and it inspired us to be just as good. Prof. Mráz enthusiasm in explaining abstract mathmetical concepts as well as practical implementations by code, drove us all to aspire to be better."
NAIL002,"RNDr. František Mráz, CSc.",cvičení,18.02.2024,1. Ročník,Informatika - Umělá inteligence,"Pan Mráz vede cvičení dobrým způsobem, kdy střídá různé formy. Líbí se mi, jak nás aktivně vyzýval, abychom nahráli svoje řešení, i když jsme přímo nevěděli - vždycky nám poradil s problémy a nikdy nebyl zlý (i když třeba byl někdo opravdu mimo). Taky oceňuji styl: ""můžete se ptát studenta, co nahrál řešení, a pak se budu ptát já vás a on nesmí odpovídat"". Doktor Mráz je skutečně pozorný a často si všiml problému, který jsme přehlídli."
NAIL002,"RNDr. František Mráz, CSc.",přednáška,09.02.2025,1. ročník,Informatika - Umělá inteligence,Velmi nápomocný
NAIL002,"RNDr. František Mráz, CSc.",přednáška,09.01.2025,1. ročník,Informatika - Umělá inteligence,"Very friendly, supportive, answers questions."
NAIL002,"RNDr. František Mráz, CSc.",přednáška,18.02.2024,1. Ročník,Computer Science - Artificial Intelligence,"I cannot emphasize enough how competent Prof. Mráz in his explanations. The lecturer understood so well, what the students doubts and question were, that they were always answered directly, and precisely answered in as little words or waste of time possible. It was fascinating to watch that happen on several occasions for different students including myself. And with respects to assignments, they fit extremely well around the course and again, any doubts were quickly dispelled by a simple drawing on the board or one perfectly expressed explanation. Optimal."
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",cvičení,18.02.2024,1. Ročník,Computer Science - Artificial Intelligence,The practicals in class were capital in visualising the abstract calculations in different neural networks and associative memories. It's always helpful to come back to pure maths with pen and paper.
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,15.02.2026,1. ročník,Informatika - Umělá inteligence,"Přednášející pravidelně dochází na všechny přednášky o 10–15 minut pozdě. Část přednášek je pouze pojednání o paperech, které přednášející vyšly v minulosti. Jiná využívá slidů, které jsou na první pohled irelevantní a navíc nedostupné. Projev v angličtině je často velice náročně stravitelný. Přednášející se naprosto zbytečně pouští do témat, které do předmětu nepatří. Příkladem jsou posuzování pohlaví osob po tranzici, zabředávání do současných politických kauz a geopolitické situace."
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,09.02.2025,1. ročník,Informatika - Umělá inteligence,Vyborný a příjemný přístup na zkoušce.
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,09.01.2025,1. ročník,Informatika - Umělá inteligence,"Doesnt really explain the concepts in general well. Didnt get much from the lecture itself, but the slides are really nice."
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,18.02.2024,1. Ročník,Informatika - Umělá inteligence,"Přednášky byly úmorné. Stačilo by popisovat látku věcněji, nechodit kolem horké kaše, ubrat biologickou bažinu, neposlouchat písničky od ABBy, neopakovat české báje a pověsti a rázem se celý předmět vejde do jedné přednášky týdně. Také když přišla řeč na něco zajímavého, tak paní docentka vždy ztišila už tak tichý hlas, takže zajímavost slyšel i snad jen dva studenti v první lavici. Doporučuji proto mluvit víc nahlas. Studijní materiály byly kromě doporučené literatury prezentace a pár záznamů z minulých let, bohužel záznamy pokrývaly pouze polovinu semestru, což je škoda, protože často dokáže záznam vyřešit nepřesnost/nepochopení z prezentace samotné. Také bych ony záznamy dal někam ke stažení, protože sledování v moodlu bylo velice poruchové. Co se prezentací týče, velmi oceňuji i jejich české verze. Matematické zápisy byly často nekonzistentní a matoucí. Oproti tomu zkouška byla velice příjemná, líbilo se mi, že nestihnutí nějaké písemné části nevadí a vše se dořeší na ústní."
