kod,vyucujici,role,obdobi,odpovedelo,zapsano,srozumitelnost,usporadanost,zajimavost,vztah_ke_studentum,kvalita_materialu,korektnost,obtiznost,znalosti_studentu,ucast,priprava,kazen,rec,literatura,celkove_predmet,celkove_vyucujici,otazka19
NAIL002,"RNDr. František Mráz, CSc.",cvičení,2021 / zimní,5,41,,,,,,,,,,,,,,"1,60",,
NAIL002,"RNDr. František Mráz, CSc.",cvičení,2023 / zimní,6,38,,,,,,,,,,,,,,"1,83",,
NAIL002,"RNDr. František Mráz, CSc.",cvičení,2024 / zimní,6,50,,,,,,,,,,,,,,"1,17",,
NAIL002,"RNDr. František Mráz, CSc.",přednáška,2015 / zimní,14,44,,,,,,,,,,,,,,"1,50",,
NAIL002,"RNDr. František Mráz, CSc.",přednáška,2016 / zimní,8,39,,,,,,,,,,,,,,"1,88",,
NAIL002,"RNDr. František Mráz, CSc.",přednáška,2017 / zimní,8,47,,,,,,,,,,,,,,"2,13",,
NAIL002,"RNDr. František Mráz, CSc.",přednáška,2018 / zimní,9,49,,,,,,,,,,,,,,"1,78",,
NAIL002,"RNDr. František Mráz, CSc.",přednáška,2021 / zimní,5,41,,,,,,,,,,,,,,"2,00",,
NAIL002,"RNDr. František Mráz, CSc.",přednáška,2023 / zimní,5,38,,,,,,,,,,,,,,"2,00",,
NAIL002,"RNDr. František Mráz, CSc.",přednáška,2024 / zimní,5,50,,,,,,,,,,,,,,"1,00",,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",cvičení,2015 / zimní,9,44,,,,,,,,,,,,,,"2,33",,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",cvičení,2017 / zimní,8,47,,,,,,,,,,,,,,"2,63",,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",cvičení,2023 / zimní,5,38,,,,,,,,,,,,,,"2,40",,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2003 / zimní,10,30,"2,50","2,20","2,00","2,50","2,30","1,80","2,40","2,30","2,40","1,90","2,60","1,90",,,,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2007 / zimní,7,43,"2,43","2,14","2,86","1,86","2,57","2,00","2,33","2,50",,,,,,,,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2008 / zimní,9,48,"2,33","2,00","2,00","1,67","2,11","1,56","2,22","2,13",,,,,,,,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2011 / zimní,10,51,"2,80","3,00","2,80","1,80","3,00","2,22","2,70","2,56",,,,,,,,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2013 / zimní,12,35,"2,58","2,92","2,58","2,08","2,70",,"2,91","2,56",,,,,,,,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2015 / zimní,18,44,,,,,,,,,,,,,,"2,28",,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2016 / zimní,13,39,,,,,,,,,,,,,,"3,54",,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2017 / zimní,11,47,,,,,,,,,,,,,,"2,64",,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2018 / zimní,10,49,,,,,,,,,,,,,,"2,80",,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2020 / zimní,9,25,,,,,,,,,,,,,,"3,56",,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2022 / zimní,5,33,,,,,,,,,,,,,,"2,20",,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2023 / zimní,6,38,,,,,,,,,,,,,,"2,83",,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2024 / zimní,6,50,,,,,,,,,,,,,,"2,00",,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2025 / zimní,5,51,,,,,,,,,,,,,,"2,60",,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",cvičení,2015 / zimní,17,44,,,,,,,,,,,,,,,,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",cvičení,2016 / zimní,13,39,,,,,,,,,,,,,,,,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",cvičení,2017 / zimní,12,47,,,,,,,,,,,,,,,,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",cvičení,2018 / zimní,9,49,,,,,,,,,,,,,,,,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",cvičení,2020 / zimní,9,25,,,,,,,,,,,,,,,,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",cvičení,2021 / zimní,5,41,,,,,,,,,,,,,,,,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",cvičení,2023 / zimní,6,38,,,,,,,,,,,,,,,,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",cvičení,2024 / zimní,6,50,,,,,,,,,,,,,,,,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2015 / zimní,20,44,,,,,,,,,,,,,,,,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2016 / zimní,13,39,,,,,,,,,,,,,,,,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2017 / zimní,11,47,,,,,,,,,,,,,,,,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2018 / zimní,10,49,,,,,,,,,,,,,,,,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2020 / zimní,11,25,,,,,,,,,,,,,,,,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2021 / zimní,5,41,,,,,,,,,,,,,,,,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2022 / zimní,5,33,,,,,,,,,,,,,,,,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2023 / zimní,6,38,,,,,,,,,,,,,,,,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2024 / zimní,6,50,,,,,,,,,,,,,,,,
NAIL002,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2025 / zimní,6,51,,,,,,,,,,,,,,,,
NAIL060,"RNDr. Petr Božovský, CSc.",cvičení,2015 / zimní,6,16,,,,,,,,,,,,,,"2,50",,
NAIL060,"RNDr. Petr Božovský, CSc.",cvičení,2016 / zimní,6,21,,,,,,,,,,,,,,"2,33",,
NAIL060,"RNDr. Petr Božovský, CSc.",cvičení,2017 / zimní,6,18,,,,,,,,,,,,,,"2,00",,
NAIL060,"RNDr. Petr Božovský, CSc.",přednáška,2015 / zimní,6,16,,,,,,,,,,,,,,"2,50",,
NAIL060,"RNDr. Petr Božovský, CSc.",přednáška,2016 / zimní,7,21,,,,,,,,,,,,,,"2,71",,
NAIL060,"RNDr. Petr Božovský, CSc.",přednáška,2017 / zimní,7,18,,,,,,,,,,,,,,"1,71",,
NAIL060,"RNDr. Petr Božovský, CSc.",přednáška,2018 / zimní,5,27,,,,,,,,,,,,,,"1,60",,
NAIL060,"RNDr. Petr Božovský, CSc.",cvičení,2015 / zimní,6,16,,,,,,,,,,,,,,,,
NAIL060,"RNDr. Petr Božovský, CSc.",cvičení,2016 / zimní,6,21,,,,,,,,,,,,,,,,
NAIL060,"RNDr. Petr Božovský, CSc.",cvičení,2017 / zimní,6,18,,,,,,,,,,,,,,,,
NAIL060,"RNDr. Petr Božovský, CSc.",přednáška,2015 / zimní,6,16,,,,,,,,,,,,,,,,
NAIL060,"RNDr. Petr Božovský, CSc.",přednáška,2016 / zimní,7,21,,,,,,,,,,,,,,,,
NAIL060,"RNDr. Petr Božovský, CSc.",přednáška,2017 / zimní,7,18,,,,,,,,,,,,,,,,
NAIL060,"RNDr. Petr Božovský, CSc.",přednáška,2018 / zimní,5,27,,,,,,,,,,,,,,,,
NAIL013,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2011 / letní,7,22,"3,71","3,14","3,43","2,43","3,43","2,00","3,00","2,71",,,,,,,,
NAIL013,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2018 / letní,5,17,,,,,,,,,,,,,,"1,60",,
NAIL013,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2018 / letní,5,17,,,,,,,,,,,,,,,,
NAIL029,"Mgr. Marta Vomlelová, Ph.D.",přednáška,2011 / letní,6,29,"2,67","2,67","1,83","1,17","2,50","1,40","2,67","2,20",,,,,,,,
NAIL029,"Mgr. Marta Vomlelová, Ph.D.",přednáška,2013 / letní,8,61,"2,38","2,25","2,25","1,75","2,38","2,00","2,86","2,71",,,,,"2,14",,,
NAIL029,"Mgr. Marta Vomlelová, Ph.D.",přednáška,2014 / letní,8,59,"2,13","2,13","2,13","1,50","2,38",,"3,00","3,00",,,,,"2,38",,,
NAIL029,"Mgr. Marta Vomlelová, Ph.D.",přednáška,2015 / letní,8,37,,,,,,,,,,,,,,"3,50",,
NAIL029,"Mgr. Marta Vomlelová, Ph.D.",přednáška,2019 / letní,11,41,,,,,,,,,,,,,,"2,09",,
NAIL029,"Mgr. Marta Vomlelová, Ph.D.",přednáška,2015 / letní,9,37,,,,,,,,,,,,,,,,
NAIL029,"Mgr. Marta Vomlelová, Ph.D.",přednáška,2017 / letní,5,46,,,,,,,,,,,,,,,,
NAIL029,"Mgr. Marta Vomlelová, Ph.D.",přednáška,2019 / letní,11,41,,,,,,,,,,,,,,,,
NPFL147,"Mgr. Jindřich Helcl, Ph.D.",cvičení,2025 / zimní,8,63,,,,,,,,,,,,,,"2,25",,
NPFL147,"doc. RNDr. Pavel Pecina, Ph.D.",cvičení,2025 / zimní,9,63,,,,,,,,,,,,,,"2,11",,
NPFL147,"doc. RNDr. Pavel Pecina, Ph.D.",přednáška,2025 / zimní,8,63,,,,,,,,,,,,,,"2,00",,
NPFL147,"doc. RNDr. Pavel Pecina, Ph.D.",cvičení,2025 / zimní,10,63,,,,,,,,,,,,,,,,
NPFL147,"doc. RNDr. Pavel Pecina, Ph.D.",přednáška,2025 / zimní,9,63,,,,,,,,,,,,,,,,
NAIL025,"Mgr. Roman Neruda, CSc.",přednáška,2004 / letní,9,41,"1,33","2,44","1,89","1,33","2,56","1,83","1,86","1,86",,,,,,,,
NAIL025,"Mgr. Roman Neruda, CSc.",přednáška,2005 / letní,7,37,"1,14","2,00","1,29","1,14","1,86","2,20","2,20","1,67",,,,,,,,
NAIL025,"Mgr. Roman Neruda, CSc.",přednáška,2007 / zimní,7,28,"1,14","1,71","1,43","1,00","1,71","1,29","1,71","1,57",,,,,,,,
NAIL025,"Mgr. Roman Neruda, CSc.",přednáška,2010 / zimní,6,44,"1,67","2,83","1,33","1,33","2,33","2,83","1,33","2,17",,,,,,,,
NAIL025,"Mgr. Roman Neruda, CSc.",přednáška,2011 / zimní,9,48,"1,78","2,33","1,89","1,78","2,44","1,88","1,75","2,00",,,,,,,,
NAIL025,"Mgr. Roman Neruda, CSc.",přednáška,2014 / zimní,16,43,"1,25","1,63","1,13","1,06","1,56","1,00","2,75","2,25",,,,,"2,50",,,
NAIL025,"Mgr. Roman Neruda, CSc.",přednáška,2015 / zimní,13,40,,,,,,,,,,,,,,"1,46",,
NAIL025,"Mgr. Roman Neruda, CSc.",přednáška,2016 / zimní,11,36,,,,,,,,,,,,,,"1,36",,
NAIL025,"Mgr. Roman Neruda, CSc.",přednáška,2017 / zimní,15,59,,,,,,,,,,,,,,"1,33",,
NAIL025,"Mgr. Roman Neruda, CSc.",přednáška,2018 / zimní,13,66,,,,,,,,,,,,,,"1,08",,
NAIL025,"Mgr. Roman Neruda, CSc.",přednáška,2019 / zimní,9,58,,,,,,,,,,,,,,"1,22",,
NAIL025,"Mgr. Roman Neruda, CSc.",přednáška,2020 / zimní,10,44,,,,,,,,,,,,,,"1,40",,
NAIL025,"Mgr. Roman Neruda, CSc.",přednáška,2021 / zimní,8,64,,,,,,,,,,,,,,"1,00",,
NAIL025,"Mgr. Roman Neruda, CSc.",přednáška,2022 / zimní,7,73,,,,,,,,,,,,,,"1,29",,
NAIL025,"Mgr. Roman Neruda, CSc.",přednáška,2023 / zimní,12,67,,,,,,,,,,,,,,"1,00",,
NAIL025,"Mgr. Roman Neruda, CSc.",přednáška,2024 / zimní,17,102,,,,,,,,,,,,,,"1,12",,
NAIL025,"Mgr. Roman Neruda, CSc.",přednáška,2025 / zimní,13,100,,,,,,,,,,,,,,"1,08",,
NAIL025,"doc. Mgr. Martin Pilát, Ph.D.",cvičení,2009 / zimní,5,51,"1,80","2,00","2,00","1,20","2,40","1,00","2,00","1,75",,,,,,,,
NAIL025,"doc. Mgr. Martin Pilát, Ph.D.",cvičení,2010 / zimní,6,44,"1,33","1,50","1,33","1,17","1,33","1,50","1,83","1,83",,,,,,,,
NAIL025,"doc. Mgr. Martin Pilát, Ph.D.",cvičení,2011 / zimní,9,48,"1,33","1,33","2,00","1,00","1,56","1,29","1,86","2,00",,,,,,,,
NAIL025,"doc. Mgr. Martin Pilát, Ph.D.",cvičení,2012 / zimní,5,46,"1,00","1,00","1,00","1,00","1,00","1,20","2,00","1,40",,,,,,,,
NAIL025,"doc. Mgr. Martin Pilát, Ph.D.",cvičení,2013 / zimní,13,44,"1,92","1,62","1,92","1,15","1,85",,"2,08","2,38",,,,,,,,
NAIL025,"doc. Mgr. Martin Pilát, Ph.D.",cvičení,2014 / zimní,16,43,"1,31","1,44","1,44","1,06","1,38","1,00","2,44","2,19",,,,,"1,88",,,
NAIL025,"doc. Mgr. Martin Pilát, Ph.D.",cvičení,2015 / zimní,14,40,,,,,,,,,,,,,,"1,21",,
NAIL025,"doc. Mgr. Martin Pilát, Ph.D.",cvičení,2016 / zimní,11,36,,,,,,,,,,,,,,"1,73",,
NAIL025,"doc. Mgr. Martin Pilát, Ph.D.",cvičení,2017 / zimní,14,59,,,,,,,,,,,,,,"1,14",,
NAIL025,"doc. Mgr. Martin Pilát, Ph.D.",cvičení,2018 / zimní,12,66,,,,,,,,,,,,,,"1,00",,
NAIL025,"doc. Mgr. Martin Pilát, Ph.D.",cvičení,2019 / zimní,11,58,,,,,,,,,,,,,,"1,09",,
NAIL025,"doc. Mgr. Martin Pilát, Ph.D.",cvičení,2020 / zimní,10,44,,,,,,,,,,,,,,"1,00",,
NAIL025,"doc. Mgr. Martin Pilát, Ph.D.",cvičení,2021 / zimní,7,64,,,,,,,,,,,,,,"1,00",,
NAIL025,"doc. Mgr. Martin Pilát, Ph.D.",cvičení,2022 / zimní,7,73,,,,,,,,,,,,,,"1,43",,
NAIL025,"doc. Mgr. Martin Pilát, Ph.D.",cvičení,2023 / zimní,12,67,,,,,,,,,,,,,,"1,00",,
NAIL025,"doc. Mgr. Martin Pilát, Ph.D.",cvičení,2024 / zimní,17,102,,,,,,,,,,,,,,"1,12",,
NAIL025,"doc. Mgr. Martin Pilát, Ph.D.",cvičení,2025 / zimní,11,100,,,,,,,,,,,,,,"1,09",,
NAIL025,"doc. Mgr. Martin Pilát, Ph.D.",přednáška,2023 / zimní,11,67,,,,,,,,,,,,,,"1,00",,
NAIL025,"doc. Mgr. Martin Pilát, Ph.D.",přednáška,2024 / zimní,17,102,,,,,,,,,,,,,,"1,06",,
NAIL025,"doc. Mgr. Martin Pilát, Ph.D.",přednáška,2025 / zimní,12,100,,,,,,,,,,,,,,"1,17",,
NAIL025,"RNDr. Petra Vidnerová, Ph.D.",cvičení,2007 / zimní,6,28,"1,33","1,50","1,50","1,17","1,50","1,33","2,00","1,67",,,,,,,,
NAIL025,"RNDr. Petra Vidnerová, Ph.D.",cvičení,2015 / zimní,15,40,,,,,,,,,,,,,,,,
NAIL025,"RNDr. Petra Vidnerová, Ph.D.",cvičení,2016 / zimní,11,36,,,,,,,,,,,,,,,,
NAIL025,"RNDr. Petra Vidnerová, Ph.D.",cvičení,2017 / zimní,14,59,,,,,,,,,,,,,,,,
NAIL025,"RNDr. Petra Vidnerová, Ph.D.",cvičení,2018 / zimní,12,66,,,,,,,,,,,,,,,,
NAIL025,"RNDr. Petra Vidnerová, Ph.D.",cvičení,2019 / zimní,11,58,,,,,,,,,,,,,,,,
NAIL025,"RNDr. Petra Vidnerová, Ph.D.",přednáška,2015 / zimní,14,40,,,,,,,,,,,,,,,,
NAIL025,"RNDr. Petra Vidnerová, Ph.D.",přednáška,2016 / zimní,11,36,,,,,,,,,,,,,,,,
NAIL025,"RNDr. Petra Vidnerová, Ph.D.",přednáška,2017 / zimní,15,59,,,,,,,,,,,,,,,,
NAIL025,"RNDr. Petra Vidnerová, Ph.D.",přednáška,2018 / zimní,13,66,,,,,,,,,,,,,,,,
NAIL025,"RNDr. Petra Vidnerová, Ph.D.",přednáška,2019 / zimní,10,58,,,,,,,,,,,,,,,,
NAIL025,"RNDr. Petra Vidnerová, Ph.D.",cvičení,2020 / zimní,10,44,,,,,,,,,,,,,,,,
NAIL025,"RNDr. Petra Vidnerová, Ph.D.",cvičení,2021 / zimní,7,64,,,,,,,,,,,,,,,,
NAIL025,"RNDr. Petra Vidnerová, Ph.D.",cvičení,2022 / zimní,7,73,,,,,,,,,,,,,,,,
NAIL025,"RNDr. Petra Vidnerová, Ph.D.",cvičení,2023 / zimní,12,67,,,,,,,,,,,,,,,,
NAIL025,"RNDr. Petra Vidnerová, Ph.D.",cvičení,2024 / zimní,17,102,,,,,,,,,,,,,,,,
NAIL025,"RNDr. Petra Vidnerová, Ph.D.",cvičení,2025 / zimní,11,100,,,,,,,,,,,,,,,,
NAIL025,"RNDr. Petra Vidnerová, Ph.D.",přednáška,2020 / zimní,10,44,,,,,,,,,,,,,,,,
NAIL025,"RNDr. Petra Vidnerová, Ph.D.",přednáška,2021 / zimní,9,64,,,,,,,,,,,,,,,,
NAIL025,"RNDr. Petra Vidnerová, Ph.D.",přednáška,2022 / zimní,7,73,,,,,,,,,,,,,,,,
NAIL025,"RNDr. Petra Vidnerová, Ph.D.",přednáška,2023 / zimní,12,67,,,,,,,,,,,,,,,,
NAIL025,"RNDr. Petra Vidnerová, Ph.D.",přednáška,2024 / zimní,17,102,,,,,,,,,,,,,,,,
NAIL025,"RNDr. Petra Vidnerová, Ph.D.",přednáška,2025 / zimní,13,100,,,,,,,,,,,,,,,,
NAIL107,"RNDr. František Mráz, CSc.",cvičení,2015 / letní,6,19,,,,,,,,,,,,,,"2,33",,
NAIL107,"RNDr. František Mráz, CSc.",cvičení,2017 / letní,6,19,,,,,,,,,,,,,,"1,33",,
NAIL107,"RNDr. František Mráz, CSc.",přednáška,2015 / letní,6,19,,,,,,,,,,,,,,"2,33",,
NAIL107,"RNDr. František Mráz, CSc.",přednáška,2017 / letní,6,19,,,,,,,,,,,,,,"1,17",,
NAIL107,"RNDr. František Mráz, CSc.",cvičení,2015 / letní,6,19,,,,,,,,,,,,,,,,
NAIL107,"RNDr. František Mráz, CSc.",cvičení,2017 / letní,6,19,,,,,,,,,,,,,,,,
NAIL107,"RNDr. František Mráz, CSc.",přednáška,2015 / letní,6,19,,,,,,,,,,,,,,,,
NAIL107,"RNDr. František Mráz, CSc.",přednáška,2017 / letní,6,19,,,,,,,,,,,,,,,,
NDBI023,"RNDr. František Mráz, CSc.",cvičení,2013 / letní,12,30,"1,83","2,27","2,17","1,67","2,00",,"2,50","2,55",,,,,"1,83",,,
NDBI023,"RNDr. František Mráz, CSc.",cvičení,2015 / letní,9,27,,,,,,,,,,,,,,"2,33",,
NDBI023,"RNDr. František Mráz, CSc.",cvičení,2024 / letní,8,43,,,,,,,,,,,,,,"1,75",,
NDBI023,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2004 / letní,5,46,"1,80","1,80","2,20","1,40","1,80","1,40","1,80","3,00",,,,,,,,
NDBI023,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2008 / letní,7,72,"2,71","2,29","2,71","1,71","2,14","1,43","1,86","2,33",,,,,,,,
NDBI023,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2011 / letní,8,31,"2,50","2,13","2,25","2,00","2,50","1,75","2,63","3,00",,,,,,,,
NDBI023,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2013 / letní,7,30,"2,86","3,14","3,00","2,29","3,83","2,00","2,71","3,17",,,,,"3,00",,,
NDBI023,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2014 / letní,5,21,"1,40","1,60","1,40","1,20","1,60",,"3,20","2,80",,,,,"2,00",,,
NDBI023,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2015 / letní,13,27,,,,,,,,,,,,,,"2,85",,
NDBI023,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2024 / letní,8,43,,,,,,,,,,,,,,"1,63",,
NDBI023,"doc. RNDr. Iveta Mrázová, CSc.",cvičení,2015 / letní,9,27,,,,,,,,,,,,,,,,
NDBI023,"doc. RNDr. Iveta Mrázová, CSc.",cvičení,2024 / letní,8,43,,,,,,,,,,,,,,,,
NDBI023,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2015 / letní,13,27,,,,,,,,,,,,,,,,
NDBI023,"doc. RNDr. Iveta Mrázová, CSc.",přednáška,2024 / letní,8,43,,,,,,,,,,,,,,,,
NPFL138,"RNDr. Milan Straka, Ph.D.",cvičení,2023 / letní,19,199,,,,,,,,,,,,,,"1,05",,
NPFL138,"RNDr. Milan Straka, Ph.D.",přednáška,2023 / letní,22,199,,,,,,,,,,,,,,"1,05",,
NPFL138,"RNDr. Milan Straka, Ph.D.",přednáška,2024 / letní,26,245,,,,,,,,,,,,,,"1,04",,
NPFL138,"RNDr. Milan Straka, Ph.D.",cvičení,2023 / letní,19,199,,,,,,,,,,,,,,,,
NPFL138,"RNDr. Milan Straka, Ph.D.",přednáška,2023 / letní,22,199,,,,,,,,,,,,,,,,
NPFL138,"RNDr. Milan Straka, Ph.D.",přednáška,2024 / letní,26,245,,,,,,,,,,,,,,,,
NPFL139,"RNDr. Milan Straka, Ph.D.",cvičení,2023 / letní,6,62,,,,,,,,,,,,,,"1,00",,
NPFL139,"RNDr. Milan Straka, Ph.D.",cvičení,2024 / letní,10,100,,,,,,,,,,,,,,"1,20",,
NPFL139,"RNDr. Milan Straka, Ph.D.",přednáška,2023 / letní,8,62,,,,,,,,,,,,,,"1,00",,
NPFL139,"RNDr. Milan Straka, Ph.D.",přednáška,2024 / letní,11,100,,,,,,,,,,,,,,"1,00",,
NPFL139,"RNDr. Milan Straka, Ph.D.",cvičení,2023 / letní,6,62,,,,,,,,,,,,,,,,
NPFL139,"RNDr. Milan Straka, Ph.D.",cvičení,2024 / letní,10,100,,,,,,,,,,,,,,,,
NPFL139,"RNDr. Milan Straka, Ph.D.",přednáška,2023 / letní,8,62,,,,,,,,,,,,,,,,
NPFL139,"RNDr. Milan Straka, Ph.D.",přednáška,2024 / letní,11,100,,,,,,,,,,,,,,,,
NMAI073,"doc. Mgr. Robert Šámal, Ph.D.",přednáška,2021 / zimní,5,22,,,,,,,,,,,,,,"1,80",,
NMAI073,"doc. Mgr. Robert Šámal, Ph.D.",přednáška,2022 / zimní,5,27,,,,,,,,,,,,,,"1,60",,
NMAI073,"doc. Mgr. Robert Šámal, Ph.D.",přednáška,2023 / zimní,6,56,,,,,,,,,,,,,,"1,83",,
NMAI073,"doc. Mgr. Robert Šámal, Ph.D.",přednáška,2024 / zimní,7,63,,,,,,,,,,,,,,"1,29",,
NMAI073,"Bc. Josef Tkadlec, Ph.D.",cvičení,2024 / zimní,7,63,,,,,,,,,,,,,,"1,00",,
NMAI073,"Bc. Josef Tkadlec, Ph.D.",cvičení,2024 / zimní,7,63,,,,,,,,,,,,,,,,
NMAI073,"Bc. Josef Tkadlec, Ph.D.",přednáška,2021 / zimní,5,22,,,,,,,,,,,,,,,,
NMAI073,"Bc. Josef Tkadlec, Ph.D.",přednáška,2022 / zimní,5,27,,,,,,,,,,,,,,,,
NMAI073,"Bc. Josef Tkadlec, Ph.D.",přednáška,2023 / zimní,6,56,,,,,,,,,,,,,,,,
NMAI073,"Bc. Josef Tkadlec, Ph.D.",přednáška,2024 / zimní,7,63,,,,,,,,,,,,,,,,
NAIL104,"Mgr. Marta Vomlelová, Ph.D.",přednáška,2020 / zimní,5,25,,,,,,,,,,,,,,"2,80",,
NAIL104,"Mgr. Marta Vomlelová, Ph.D.",přednáška,2020 / zimní,5,25,,,,,,,,,,,,,,,,
NPFL140,"Mgr. Jindřich Helcl, Ph.D.",cvičení,2023 / letní,5,51,,,,,,,,,,,,,,"1,40",,
NPFL140,"Mgr. Jindřich Libovický, Ph.D.",cvičení,2023 / letní,5,51,,,,,,,,,,,,,,"1,40",,
NPFL140,"Mgr. Jindřich Libovický, Ph.D.",cvičení,2023 / letní,5,51,,,,,,,,,,,,,,,,
NAIL015,"RNDr. Petr Božovský, CSc.",cvičení,2014 / letní,6,6,"1,67","1,83","1,33","1,50","2,00",,"2,67","2,17",,,,,"3,20",,,
NAIL015,"RNDr. Petr Božovský, CSc.",přednáška,2014 / letní,6,6,"2,00","1,83","2,00","1,50","2,17",,"2,67","2,67",,,,,"2,83",,,
NMAI060,"prof. RNDr. Jaromír Antoch, CSc.",cvičení,2014 / zimní,17,74,"2,53","2,41","2,13","1,31","2,59",,"3,50","2,94",,,,,"3,29",,,
NMAI060,"prof. RNDr. Jaromír Antoch, CSc.",přednáška,2006 / zimní,13,98,"2,62","2,46","2,38","1,77","2,31","1,64","3,00","3,00",,,,,,,,
NMAI060,"prof. RNDr. Jaromír Antoch, CSc.",přednáška,2007 / zimní,15,145,"2,67","2,87","2,40","1,40","2,33","1,56","2,58","2,30",,,,,,,,
NMAI060,"prof. RNDr. Jaromír Antoch, CSc.",přednáška,2008 / zimní,15,155,"2,80","2,87","2,53","1,13","2,07","1,53","2,40","2,77",,,,,,,,
NMAI060,"prof. RNDr. Jaromír Antoch, CSc.",přednáška,2013 / zimní,18,83,"2,56","2,35","2,39","1,56","2,50",,"3,72","3,20",,,,,,,,
NMAI060,"prof. RNDr. Jaromír Antoch, CSc.",přednáška,2014 / zimní,21,74,"2,76","2,60","2,57","1,60","2,60","1,50","3,47","3,42",,,,,"2,75",,,
NMAI060,"prof. RNDr. Jaromír Antoch, CSc.",přednáška,2015 / zimní,21,63,,,,,,,,,,,,,,"2,14",,
NMAI060,"prof. RNDr. Jaromír Antoch, CSc.",přednáška,2016 / zimní,13,59,,,,,,,,,,,,,,"2,31",,
NMAI060,"prof. RNDr. Jaromír Antoch, CSc.",přednáška,2017 / zimní,20,77,,,,,,,,,,,,,,"2,15",,
NMAI060,"prof. RNDr. Jaromír Antoch, CSc.",přednáška,2018 / zimní,17,104,,,,,,,,,,,,,,"2,53",,
NMAI060,"prof. RNDr. Jaromír Antoch, CSc.",přednáška,2019 / zimní,12,71,,,,,,,,,,,,,,"2,17",,
NMAI060,"prof. RNDr. Jaromír Antoch, CSc.",přednáška,2020 / zimní,10,39,,,,,,,,,,,,,,"1,50",,
NMAI060,"prof. RNDr. Jaromír Antoch, CSc.",přednáška,2015 / zimní,22,63,,,,,,,,,,,,,,,,
NMAI060,"prof. RNDr. Jaromír Antoch, CSc.",přednáška,2016 / zimní,13,59,,,,,,,,,,,,,,,,
NMAI060,"prof. RNDr. Jaromír Antoch, CSc.",přednáška,2017 / zimní,22,77,,,,,,,,,,,,,,,,
NMAI060,"prof. RNDr. Jaromír Antoch, CSc.",přednáška,2018 / zimní,18,104,,,,,,,,,,,,,,,,
NMAI060,"prof. RNDr. Jaromír Antoch, CSc.",přednáška,2019 / zimní,14,71,,,,,,,,,,,,,,,,
NMAI060,"prof. RNDr. Jaromír Antoch, CSc.",přednáška,2020 / zimní,10,39,,,,,,,,,,,,,,,,
