kod,url_kurzu,url_vyucujici,dochazka,dochazka_doklad,nahravky,nahravky_doklad,zapocet,samostudium,poznamka,zdroj
NDBI023,https://ksvi.mff.cuni.cz/~mraz/datamining/,https://ksvi.mff.cuni.cz/~mraz/,bodovana,"Na cvičeních lze získat dodatečné body, např. 1 bod za předvedení řešení úlohy zadané na cvičení. Bez dodatečných bodů tak lze za celý semestr získat až 50 bodů. + Pro získání zápočtu je nutné: ... Vypracovat a přednést řešení projektu na jednom z posledních cvičení nebo v termínu prezentací ve zkouškovém období.",castecne,"Videa nejsou. Na stránce prednaska.html jsou ale kompletní slajdy přednášky (Úvod, Předzpracování dat, Rozhodovací stromy, Asociační pravidla, Bayesovské modely, Neuronové sítě, ELM, Genetické algoritmy, PCA, APRIORI, Bayesovské sítě) plus Řešené příklady.",DÚ (Jupyter notebook) + online kvízy v Moodle + prezentace projektu na cvičení,"stredni – slajdy a řešené příklady jsou veřejné a body z kvízů/DÚ jdou z domova, ale projekt se musí osobně přednést a body z cvičení tvoří 40 % známky","Stránka na KSVI je zastaralá (poslední zprávy 2009 a 2012, texty slovensky); aktuální provoz je v Moodle dl1.cuni.cz (kurz existuje, obsah za přihlášením). Prezentaci projektu lze podle SIS udělat i v termínu prezentací ve zkouškovém období, ne nutně na cvičení. Za pozdní odevzdání úkolu -1 bod za každý započatý týden. Předmět je v LS.",https://ksvi.mff.cuni.cz/~mraz/datamining/ + SIS podmínky
NDBI031,"nenalezena (SIS odkazuje na http://www.cs.cas.cz/~martin/vyuka.html, kde k NDBI031 nic není)",http://www.cs.cas.cz/~martin/,neresi_se,"SIS, Metody výuky (Holeňa): „Jednou za 2 týdny 2 hodiny přednášky, ktere studenti se zájmem o získání zápočtu doplňují cvičeními v prostředí Matlab, s časovou náročností rovnež zhruba 2 hodiny za 2 týdny. Cvičení mohou studenti vypracovat samostatně doma a vyučujíciho podle potřeby kontaktovat kvůli konzultacím.“ Docházka jako podmínka nikde uvedená není.",nezjisteno,"Na stránce vyuka.html jsou slidy jen k jiným předmětům („Přednášky z předmětu 01NSN“, „Přednášky z předmětu 01TZN“, „Přednášky z předmětu NAIL105“); k NDBI031 tam není nic a nahrávky se nikde nezmiňují.","SIS, podmínky zakončení (Holeňa, 29.06.2019): „Předvedení vysledků úkolů ze cvičení.“ - tj. cvičení v Matlabu vypracovaná (i doma) je potřeba někomu předvést","pravděpodobně ano - SIS výslovně připouští „Cvičení mohou studenti vypracovat samostatně doma“, ale zápočet vyžaduje výsledky předvést, takže aspoň jedna domluvená schůzka s Holeňou nutná je","1/1 Z+Zk, ZS, česky, Holeňa. Přednáška jen jednou za 2 týdny po 2 hodinách. Vlastní stránka kurzu neexistuje - odkaz v SIS („Další informace“) vede na Holeňovu stránku výuky, která obsahuje jen vypsané diplomky a materiály k 01NSN, 01TZN a NAIL105. Podobná informační díra jako NAIL138 téhož vyučujícího.","SIS NDBI031 (podmínky Holeňa 29.06.2019, metody výuky 04.10.2008) + http://www.cs.cas.cz/~martin/vyuka.html (staženo 2026-08-29)"
NDBI048,https://www.ksi.mff.cuni.cz/~holubova/NDBI048/,https://www.ksi.mff.cuni.cz/~holubova/,bodovana,"Stránka kurzu, sekce Zápočet: „V polovině semestru každý student na cvičeních předvede vyučujícímu a zkonzultuje aktuální stav a na konci semestru odevzdá výsledný report.“ a v bodování: „V polovině semestru každý student (ve vlastním zájmu) s vyučujícími osobně zkonzultuje aktuální stav reportu a další plánované kroky. (Za nesplnění tohoto kroku bude strženo 10 bodů.)“",castecne,"„Pokud to bude situace vyžadovat, bude přednáška i cvičení probíhat on-line prostřednictvím platformy zoom... Přednáška i cvičení budou v tomto případě nahrávány. Záznamy budou k dispozici na této stránce.“ (jen při on-line výuce; slidy „Podklady“ ke každé přednášce i cvičení jsou ale veřejné)","vlastní datová sada + průběžně budovaný report (až 50 b od cvičícího), osobní konzultace v polovině semestru (jinak −10 b), peer-review 2 anonymizovaných reportů kolegů (0-5 b každému, za neodevzdání −10 b); minimum 40 z 60 bodů","rizikové - přednášku lze dohnat ze slidů, ale osobní konzultace reportu v polovině semestru je bodově vynucená a report se dělá nad daty schválenými cvičícím","2/2 Z+Zk, ZS, česky, Holubová + přednášející z firmy Profinit. Zkouška: písemný test cca 10 otázek, až 100 b, nadlimitní body ze cvičení se přičítají; známka 1 od 85 b. „Zkoušku není nutné absolvovat v zimním zkouškovém období.“ Předpokládá NDBI025 a NMAI059 a Python. Na cvičení je potřeba vlastní notebook. Materiály v GitLab repozitáři předmětu. Stránka je verze ZS 2025.","https://www.ksi.mff.cuni.cz/~holubova/NDBI048/ (staženo 2026-08-29) + SIS NDBI048 (podmínky, Holubová 27.04.2026)"
NMAI060,https://www.karlin.mff.cuni.cz/~antoch/,https://www.karlin.mff.cuni.cz/~antoch/,nerelevantni,"SIS: rozsah 2/0, examinace Zk, forma přednáška; podmínky zakončení celé znějí: „Ústní zkouška.“ Žádné cvičení ani zápočet neexistuje.",castecne,"Videa nejsou. Antochova stránka nabízí u položky „NMAI 060“ Slidy CZ (cz.pdf, 118 stran, „MARKOVOVY ŘETĚZCE A PROCESY — POZNÁMKY A PŘÍKLADY — NMAI 060 – NMAI 165“, soubor z 6. 1. 2025), Slidy EN (en.pdf) a Examples (priklady.pdf, 3 strany).","žádný zápočet, jen ústní zkouška","snadne – 118stránkové poznámky přímo od Antocha v CZ i EN plus sbírka příkladů, žádná průběžná kontrola","Samostatná stránka předmětu neexistuje, jen sekce na osobní stránce garanta v Karlíně. Konzultace po dohodě. V ZS 2026/27 má Antoch dvě paralelky přednášky (česká a anglická). Pozor: karlin.mff.cuni.cz, tedy Karlín, ne Malá Strana.",https://www.karlin.mff.cuni.cz/~antoch/ + SIS podmínky
NMAI061,"https://dl1.cuni.cz/course/view.php?id=11883 (Moodle, hostovský přístup bez hesla)",https://www.karlin.mff.cuni.cz/~antoch/ ; https://www2.karlin.mff.cuni.cz/~hlavka/,povinna,"SIS, podmínky zakončení (Antoch, 06.02.2024): „Podmínky pro získání zápočtu: Účast na cvičení a úspěšné vyřešení písemného zápočtového úkolu.“ Moodle (Hlávka), sekce Úvod: „Podmínky pro udělení zápočtu: aktivní účast na cvičení (tj. průběžné řešení zadávaných úkolů) a vyřešení zápočtového úkolu (na konci semestru). Získání zápočtu je nutná podmínka pro přihlášení ke zkoušce.“",ano,"Moodle má ke každému tématu video, např. „Video: t-rozdělení, konfidenční interval pro střední hodnotu“, „Video: testování hypotéz“, „Video: náhodné vektory“, „Video: mnohonásobná regrese“; k prvnímu týdnu přímo „Instrukce k samostudiu pro první týden: ... Prostudujte si folie k prvnímu týdnu (můžete využít i video s komentářem)...“",průběžné domácí úkoly odevzdávané do Moodlu (cca 10 za semestr) + písemný zápočtový úkol na konci semestru; zápočet je podmínkou pro zkoušku,"materiálově ano (Moodle je psaný jako řízené samostudium s videi a odevzdáváním úkolů), ale zápočtová podmínka „účast na cvičení“ v SIS je od Antocha, který předmět aktuálně učí - bez jeho potvrzení se na samostudium spolehnout nedá","2/1 Z+Zk, LS, 5 kr, česky. Garanti Hlávka + Antoch, v SIS jako vyučující jen Antoch. Obě formulace podmínek se liší: Hlávka „aktivní účast“ v závorce vykládá jako průběžné řešení úkolů, Antoch mluví o účasti bez upřesnění - před zápisem se zeptat. Folie k přednášce a kniha [ZAD] jsou za loginem, který se sděluje na první přednášce. Kandidát na náhradu vyřazené NMSA331 (statistika psaná pro informatiky).","SIS NMAI061 + Moodle DL1 kurz 11883 (hostovský přístup, staženo 2026-08-29)"
NMAI073,https://iuuk.mff.cuni.cz/~samal/vyuka/PSt2/,https://vaclavrozhon.github.io/teaching/2025/probability-2,povinna,"SIS: „Zápočet bude udělen za aktivní účast na cvičení, domácí úkoly a úspěšné sepsání zápočtových písemek (přesný poměr těchto kritérií stanoví cvičící). Povaha prvních dvou požadavků neumožňuje vypsat opravné termíny.“ + „Podmínkou připuštění ke zkoušce je získání zápočtu.“",ano,"Šámalova stránka, sekce „What happened in class“: u přednášek 8–12 (26. 11. 2025 – 7. 1. 2026) jsou vždy „Video recording A“ a „Video recording B“ (iuuk.mff.cuni.cz/~samal/video/zs2526/pst2-XXa.mp4). Přednášky 1–7 má Rozhoň na své stránce v sekci „Lecture Recordings“ (7 záznamů z 1. 10. – 19. 11. 2025). Navíc lecture notes LN.pdf a demos.",aktivní účast na cvičení + domácí úkoly + zápočtové písemky psané na hodině,"tezke – přednášku lze dohnat z videí a skript, ale zápočet vyžaduje aktivní účast na cvičení a písemky na hodině, bez opravných termínů","Přednáška vedená anglicky („Probability and Statistics 2“), středa 14:00 S3 v ZS 2025/26. Cvičící (v ZS 2025/26 Josef Tkadlec, dvě paralelky) stanoví přesný poměr kritérií — vyplatí se ho na začátku semestru zeptat. Zkouška: písemný test (počítací i teoretická část), známka 1–5, poté možnost ústního zlepšení o stupeň; povolen jeden ručně psaný oboustranný A4 tahák. Loňský běh kompletní na iuuk.mff.cuni.cz/~samal/vyuka/2425/PSt2/.",https://iuuk.mff.cuni.cz/~samal/vyuka/PSt2/ + SIS podmínky
NMAI165,nenalezena (materiály jsou na stránce vyučujícího spolu s NMAI060),https://www.karlin.mff.cuni.cz/~antoch/,povinna,"SIS, podmínky zakončení (Antoch, 25.08.2026): „Zápočet bude udělen za: 1. Účast na všech hodinách (maximálně 3 absence). 2. Aktivní práci ve výuce. 3. Vyřešení všech domácích úkolů zadaných v přednášce NMAI060 jako cvičení.“",castecne,"Antochova stránka nabízí slidy, jejichž titul zahrnuje i tento předmět: „MARKOVOVY ŘETĚZCE A PROCESY — POZNÁMKY A PŘÍKLADY — NMAI 060 – NMAI 165“ (http://www.karlin.mff.cuni.cz/~antoch/mai/cz.pdf, 118 stran, 6. 1. 2025), anglicky en.pdf, příklady priklady.pdf. Nahrávky nikde.","účast (max. 3 absence), aktivní práce v hodině a vyřešení všech domácích úkolů zadaných v přednášce NMAI060",nereálné - docházka je limitovaná na 3 absence a hodnotí se aktivní práce v hodině,"0/2 Z, ZS, prof. Antoch (KPMS). Je to praktikum ke cvičení přednášky NMAI060 Pravděpodobnostní metody - domácí úkoly zadává ta přednáška, takže samostatně nedává smysl. Vlastní stránka kurzu neexistuje. Moodle dl1 ani dl2 kurz nemají. Podmínky v SIS jsou čerstvé (25.08.2026).","SIS NMAI165 (Antoch, 25.08.2026) + https://www.karlin.mff.cuni.cz/~antoch/ (viz zdroje/stranky/NMAI060-kurz.md)"
NPFL097,https://ufal.mff.cuni.cz/courses/npfl097,https://ufal.mff.cuni.cz/david-marecek,neresi_se,"Stránka kurzu, „Course passing requirements“: „There are three programming assignments during the term. For each one, you can obtain 10 points. When submitted after the deadline, you can obtain at most half of the points. At the end of the course, there will be a test, from which you can get additional 15 points. You will get 5 questions from the list, each is 3 points. You pass the course if you obtain at least 30 points.“ (vyčerpávající výčet, docházka se nezmiňuje ani v SIS)",castecne,"Slidy ke všem přednáškám, zadání úloh (assignment1-3.pdf), data i vyhodnocovací skripty a celý seznam otázek k testu jsou na stránce veřejně: „Unless otherwise stated, teaching materials for this course are available under CC BY-SA 4.0.“ O nahrávkách stránka nic neuvádí.","3 programátorské úlohy po 10 b + závěrečný test za 15 b (5 otázek ze zveřejněného seznamu po 3 b), zápočet od 30 bodů; SIS: „Chybějící body lze získat v závěrečném testu. Závěrečný test lze opakovat.“","snadné - materiály i otázky k testu jsou veřejné, jediná fyzická povinnost je napsat závěrečný test","1/1 Z (jen zápočet), ZS, 3 kredity, Mareček. Závěrečný test je vypsaný jako poslední (12.) termín výuky, tj. píše se prezenčně v hodině. Předpokládá pravděpodobnost zhruba v rozsahu NPFL067; do druhé poloviny se hodí základy hlubokého učení. Loňský rozvrh: Po 10:40-12:10, S10.","https://ufal.mff.cuni.cz/courses/npfl097 (staženo 2026-08-29) + SIS NPFL097 (Mareček, 02.08.2026)"
NPFL099,https://ufal.mff.cuni.cz/courses/npfl099,https://ufal.mff.cuni.cz/ondrej-dusek,neresi_se,"Stránka kurzu, „Course Grading“: „To pass this course, you will need to: Take an exam (a written test covering important lecture content). Do lab homeworks (implementing an end-to-end dialogue system + other tasks).“ a „In any case, you need >50% of points from the test and 40+ points (i.e. 66%) from the homeworks to pass.“ Docházka mezi podmínkami není; cvičení navíc slouží jen k výkladu úkolů: „The labs will be likely shorter than 45 mins, as they mainly consist of explaining homework assignments and discussing related questions.“",ano,"„In addition, we will stream both lectures and lab instruction over Zoom and make the recordings available on Youtube (under a private link, avalable on request). We’ll do our best to provide a useful experience, just note that the quality may not be ideal.“","6 domácích úkolů (+ bonusové) po 10 b odevzdávaných do privátního Gitlab repozitáře, nutných 40+ bodů (66 %)","snadné - slidy i seznam zkouškových otázek jsou veřejné, nahrávky na vyžádání, úkoly čistě odevzdávané; pozor, „the assignments will be the most challenging part of the course“ a úkoly na sebe navazují","2/1 Z+Zk, ZS, Dušek + Kasner. Zkouška: písemný test, 10 otázek po 10 b, nutných >50 %. Známka = 3:1 zkouška:úkoly. Úkoly se počítají na fakultním clusteru AIC. Cvičení jen jednou za dva týdny. Navazuje na NPFL123, ale lze zapsat samostatně („important basics will be repeated“). SIS uvádí 4 kredity, stránka kurzu také 4.",https://ufal.mff.cuni.cz/courses/npfl099 (staženo 2026-08-29) + SIS NPFL099
NPFL103,https://ufal.mff.cuni.cz/courses/npfl103,https://ufal.mff.cuni.cz/pavel-pecina,povinna,„Students will present their solutions during the practicals in 5-10 minute presentations.“ a v zadání úkolů „Prepare a presentation and present your results during the course practicals.“ / „Present your results during the course practicals.“,castecne,Videa stránka neuvádí. Jsou ale slajdy ke všem 11 přednáškám a veřejná sekce „Questions“ s cvičnými otázkami a příklady ke každé přednášce; kniha Manning–Raghavan–Schütze je online zdarma.,dva domácí úkoly (po 100 bodech) + jejich prezentace na cvičení,"stredni – teorii pokryjí slajdy, otázky a kniha, ale výsledky obou úkolů se musí osobně odprezentovat na cvičení a zadání chodí jen mailem","Vyučováno v angličtině, úkoly a zkoušku lze psát česky/slovensky. Úterý 12:20–13:50 přednáška + 14:00–15:30 cvičení, S9. Deadliny LS 2025/26: 19. 4. a 17. 5.; pozdní odevzdání do 2 týdnů = -50 %. Zkouška: písemný test ~20 otázek, 90 minut, tři termíny. Minimum 50 bodů z každého úkolu i testu; známka = průměr tří složek. Zadání úkolů se rozesílají mailem zapsaným studentům, nejsou veřejná.",https://ufal.mff.cuni.cz/courses/npfl103
NPFL123,https://ufal.mff.cuni.cz/courses/npfl123,https://ufal.mff.cuni.cz/ondrej-dusek,neresi_se,"Stránka kurzu: „To pass this course, you will need to take an exam and do lab homeworks. There’s a 60% points minimum for the exam and 50% for the homeworks to pass the course.“ + „You need to get at least 50% of the total assignments points to pass the course.“ (vyčerpávající výčet podmínek, docházka se nezmiňuje ani na stránce, ani v SIS; úkoly se odevzdávají přes Git)",ano,"„In addition, we plan to stream both lectures and lab instruction over Zoom and make the recordings available on Youtube (under a private link, on request, sent out to enrolled students at the start of the semester).“","12 domácích úkolů po 10 bodech, odevzdání přes Gitlab merge request; nutných ≥50 % bodů z úkolů","snadné - slidy ke všem přednáškám veřejně, nahrávky na vyžádání, úkoly čistě odevzdávané; „You should pass the course just by following the lectures“","2/2 Z+Zk, LS, 5 kr, Dušek. Zkouška je písemný test, známka = 3:1 zkouška:úkoly, na obou částech nutných >50 %. Pozdní odevzdání do 2 týdnů max. 50 % bodů, po 2 týdnech 0. Automatické testy odevzdaného kódu („Code that crashes during the automatic checks will not get any points“). Výuka anglicky, „but we’re happy to explain in Czech, too“. Rozvrh loňského běhu: přednáška i cvičení Po (10:40 a 12:20, S9).",https://ufal.mff.cuni.cz/courses/npfl123 (staženo 2026-08-29) + SIS NPFL123
NPFL138,https://ufal.mff.cuni.cz/courses/npfl138/2526-summer,https://ufal.mff.cuni.cz/milan-straka,neresi_se,"„All lectures and practicals will be recorded and available on this website.“ + „To pass the practicals, you need to obtain at least 80 points, excluding the bonus points.“ (body výhradně za úlohy v ReCodExu) + konzultace jsou „entirely optional“.",ano,"„All lectures and practicals will be recorded and available on this website.“ U každé ze 14 přednášek jsou odkazy Slides, PDF Slides, CZ Lecture, CZ Practicals, EN Lecture, EN Practicals — tedy video přednášky i cvičení, česky i anglicky.","80 bodů z úloh odevzdaných do ReCodExu (v nabídce ≥120 bodů, bez bonusů)","snadne – kompletní videa CZ i EN, slajdy, veřejný seznam zkouškových otázek a všechno hodnocení běží přes ReCodEx; osobní přítomnost není potřeba nikde","Nadbytečné body z cvičení se přenášejí do zkoušky; kdo vyřeší všechny úlohy, má zkoušku automaticky za 1. Zkouška: 60/75/90 bodů ze 100 = známka 3/2/1, otázky se generují náhodně z veřejného seznamu, alespoň jedna z každé přednášky kromě první; až 10 bodů za community work. „You can take the exam without passing the practicals first.“ Týmy do 3 lidí povoleny (každý odevzdává sám). Zákaz kopírování zadání do GenAI a používání kódu z GenAI. Prostředí: Python 3.11, PyTorch, balíček npfl138. Volitelný micro-credential za 300/500 Kč. Předmět je v LS; nový běh únor 2027.",https://ufal.mff.cuni.cz/courses/npfl138/2526-summer
NPFL139,https://ufal.mff.cuni.cz/courses/npfl139/2526-summer,https://ufal.mff.cuni.cz/milan-straka,neresi_se,"„All lectures and practicals will be recorded and available on this website.“ + „To pass the practicals, you need to obtain at least 80 points, excluding the bonus points.“ + konzultace „entirely optional“.",ano,"„All lectures and practicals will be recorded and available on this website.“ U každé ze 14 přednášek jsou Slides, PDF Slides, Lecture (video) a Practicals (video).","80 bodů z úloh odevzdaných do ReCodExu (v nabídce ≥120 bodů, bez bonusů)","snadne – stejný model jako NPFL138: videa, slajdy, veřejné zkouškové otázky, agenty lze trénovat lokálně","Přednáška jen v jednom jazyce (stránka jazyk nerozlišuje). „Do agents need to be trained directly in ReCodEx? No, you can pre-train your agent locally.“ ReCodEx limity: 20 souborů / 20 MB na odevzdání, 1,5 GB paměti. Repozitář github.com/ufal/npfl139. Zkouška jako u NPFL138 (60/75/90 = 3/2/1, otázky ze všech přednášek kromě poslední, +10 za community work, lze jít bez zápočtu). Předpokládá DL (např. NPFL138). Předmět je v LS.",https://ufal.mff.cuni.cz/courses/npfl139/2526-summer
NPFL140,https://ufal.mff.cuni.cz/courses/npfl140,https://ufal.mff.cuni.cz/jindrich-helcl,povinna,"SIS, podmínky zakončení: „práce na projektu, aktivní účast, závěrečný test.“ Stránka doplňuje: „Week of 16–20 March, Kick-off meetings with supervisor“, „Project presentations — Early bird: 14 May, Standard: 21 May“, „You will be asked at least once to read a paper before the class“ a „You need to take part in a final written test that will not be graded.“",castecne,"U lekcí 2, 4, 6, 7, 8, 9, 10, 11 a 12 je na stránce odkaz „Recording“ (u lekce 10 „Recording (low res, sorry!)“); lekce 1, 3 a 5 záznam nemají. Slajdy jsou u téměř všech lekcí, materiály pod CC BY-SA 4.0.",týmový projekt (4–6 lidí) + týdenní logy + prezentace projektu + report + neznámkovaný závěrečný test,"tezke – většina lekcí má záznam, ale zápočet stojí na týmovém projektu, kick-off schůzce, prezentaci a účasti na závěrečném testu","Seminář 0/2 Z, 3 kredity, LS, čtvrtek 12:20 S5. Harmonogram LS 2025/26: 2. 3. zadání projektu, 16.–20. 3. kick-off, 31. 3. plán experimentů, 21. 4. sebehodnocení, 14. nebo 21. 5. prezentace, report do konce semestru (nejpozději 5 pracovních dnů před tím, než potřebuješ zápočet). Report max 4 strany + reference a přehled příspěvků jednotlivých členů (ACL template). Součást programu prg.ai Minor. Explicitní věta o docházce na stránce není, doklad je ze SIS.",https://ufal.mff.cuni.cz/courses/npfl140 + SIS podmínky
NPFL147,https://ufal.mff.cuni.cz/courses/npfl147,https://ufal.mff.cuni.cz/pavel-pecina,neresi_se,"„Passing Requirements: To pass the course, students need to complete three homework assignments and pass a written test.“ (Vyčerpávající výčet podmínek; docházka se nikde na stránce ani v SIS nezmiňuje a odevzdává se přes formulář.)",castecne,"Videa stránka neuvádí. Jsou slajdy ke všem přednáškám (Introduction/Probability, Information Theory, LM, Smoothing, Collocations, Mutual Information, Word Representations, HMM, Viterbi/Baum-Welch, Tagging) i slajdy se zadáním každého úkolu; povinná kniha Manning–Schütze.","tři domácí úkoly (po 100 bodech), odevzdání Colab notebooku přes formulář","snadne – slajdy přednášek i zadání úkolů jsou veřejné, odevzdává se online formulářem, zkouška je písemný test","Vyučováno v angličtině, úkoly a zkoušku lze psát česky. Úterý 12:20–13:50 (S9) a 14:00–15:30 (S1). Od 2025/26 nahrazuje zrušené NPFL067 a NPFL068. Pozdní odevzdání do 2 týdnů = -50 %, později 0; jedno dvoutýdenní bezpenalizační prodloužení na mailovou žádost před deadlinem. Minimum 50 bodů z každého úkolu i testu; známka = průměr čtyř složek stejnou vahou. Test 90 minut, tři termíny. SIS navíc uvádí, že u zkoušky lze mít učebnici, kopie slajdů nebo internet.",https://ufal.mff.cuni.cz/courses/npfl147
NPGR036,"https://cgg.mff.cuni.cz/courses/computer-vision/ (Moodle kurz existuje, ale je za přihlášením: https://dl1.cuni.cz/course/view.php?id=12090)",http://cgg.mff.cuni.cz/~sikudova/,nezjisteno,,nezjisteno,,"nezjisteno - SIS má v poli „Podmínky zakončení předmětu“ (Šikudová, 12.05.2026) pouze odkaz „http://cgg.mff.cuni.cz/~sikudova/#teaching“, a na té stránce žádné podmínky nejsou; jediná další věta je pole „Kontroly studia předmětu...“: „znalost látky probírané na přednáškách“","nezjištěno; předmět má 2 h cvičení týdně a sesterský NPGR035 téže vyučující má praktika v počítačové laboratoři s Matlabem, takže nulová docházka není samozřejmost","Hledáno: SIS NPGR036 (podmínky = jen odkaz), cgg.mff.cuni.cz/courses/computer-vision/ (jen anotace), cgg.mff.cuni.cz/~sikudova/ sekce Teaching (jen anotace: „2/2 C+EX, 5 credits, Summer“), Moodle dl1 (kurz 12090 existuje - „NPGR036 Počítačové vidění, Teacher: Kassem Anis Bouali, Matúš Goliaš, Elena Šikudová“ - ale bez CAS účtu se zobrazí jen přihlašovací stránka, hostovský přístup není), Moodle dl2 (kurz neexistuje). Před zápisem napsat Šikudové. Poznámka k plánu: neslučitelnost s NPFL129 nemá (na rozdíl od NPGR035).",SIS NPGR036 + cgg.mff.cuni.cz (staženo 2026-08-29); podmínky zápočtu zvenčí nezjistitelné
NPRG071,https://teaching.ms.mff.cuni.cz/projects-web/rules.html,https://www.ksi.mff.cuni.cz/sw-projekty/,nerelevantni,"Pravidla žádnou výuku ani povinné schůzky nezavádějí: „The project solution takes place by cooperation of the student team members and the supervisor (and the consultant, if assigned).“ „The supervisor regularly supervises the project works, provides consultations for the team members and evaluates the project when it is delivered for defence.“",ne,"Předmět nemá přednášku ani výukové materiály (v SIS seminář 0/4 Z), takže není co nahrávat.","schválený plán komisí, odevzdání díla přes fakultní GitLab a úspěšná veřejná obhajoba","nezjisteno – nejde o studijní látku, ale o odpracovaný projekt ve firmě; časově je to nejtěžší položka v plánu","Pravidla jsou psaná anglicky a společná pro NPRG023/NPRG070/NPRG071. Pro obor Umělá inteligence je týmový projekt VOLITELNÝ (povinný je jen pro SDI, Softwarové systémy a Visual Computing). Komise pro UI: projekty@ktiml.mff.cuni.cz. Plán projektu (téma, řešitelé, vedoucí, souhlasy, cíle, technologie, pracnost + u firemního projektu i návrh řešení, harmonogram a milníky) schvaluje komise; lze podat kdykoli během roku. Lhůta na řešení je 9 měsíců od začátku prací do odevzdání k obhajobě, prodloužení není nárokové. U firemního projektu je typicky povinný externí konzultant. Obhajoba je veřejná, před komisí, za účasti vedoucího a oponenta; kredity se udělují až po úspěšné obhajobě, při neúspěchu je jeden opravný pokus. SIS: nutná zpráva dokumentující podíl studenta; NENÍ VHODNÝ PRO STUDENTY NA ERASMU ANI NA KRÁTKODOBÝCH STÁŽÍCH. Doporučeno začít v 1. ročníku NMgr, nejpozději na začátku 2.",https://teaching.ms.mff.cuni.cz/projects-web/rules.html + SIS podmínky
NSZZ023,nenalezeno (předmět stránku kurzu nemá — zajišťuje Studijní oddělení),https://www.mff.cuni.cz/cs/studenti/bc-a-mgr-studium/bakalarske-a-diplomove-prace/pruvodce-po-diplomove-praci,nerelevantni,"SIS anotace: „Náplň tohoto předmětu je určována vedoucím diplomové práce, typicky se odehrává fomou konzultací mezi vedoucím a studentem a kredity za splnění tohoto předmětu uděluje také vedoucí práce, který si stanoví i kritéria, za jakých podmínek je udělí.“ Rozsah je sice veden jako cvičení, ale výuka v obvyklém smyslu neprobíhá — jen konzultace s vedoucím.",ne,"Předmět nemá přednášky ani studijní materiály. SIS anotace: „Náplň tohoto předmětu je určována vedoucím diplomové práce, typicky se odehrává fomou konzultací mezi vedoucím a studentem.“","O podmínkách rozhoduje vedoucí práce; SIS, celé znění pole Podmínky zakončení: „O podmínkách udělení zápočtu rozhoduje vedoucí diplomové práce.“","nerelevantni - není co dohánět samostudiem, jde o vlastní práci na diplomce pod vedením vedoucího","6 kr, 0/4, Z, semestr „oba“ („předmět lze zapsat v ZS i LS“), zajišťuje Studijní oddělení (32-STUD). V plánu LS2. Průvodce po diplomové práci: „Doporučujeme zadání diplomové práce vybírat již během prvního ročníku.“ Zadání se vypisuje v modulu Témata prací v SIS a schvalují ho vedoucí práce, vedoucí katedry a garant programu. Harmonogram 2026/27: „2. 10. 2026 — Doporučený termín vypsání témat diplomových a bakalářských prací“, „12. 2. 2027 — Doporučený termín zadání diplomových prací“.",SIS (anotace + podmínky zakončení) + mff.cuni.cz „Průvodce po diplomové práci“ + mff.cuni.cz „Odevzdávání prací a přihlašování k SZZ“ + harmonogram 2026/2027
NSZZ024,nenalezeno (předmět stránku kurzu nemá — zajišťuje Studijní oddělení),https://www.mff.cuni.cz/cs/studenti/bc-a-mgr-studium/bakalarske-a-diplomove-prace/pruvodce-po-diplomove-praci,nerelevantni,"SIS anotace: „Náplň tohoto předmětu je určována vedoucím diplomové práce, typicky se odehrává fomou konzultací mezi vedoucím a studentem a kredity za splnění tohoto předmětu uděluje také vedoucí práce, který si stanoví i kritéria, za jakých podmínek je udělí.“ Rozsah je sice veden jako cvičení, ale výuka v obvyklém smyslu neprobíhá — jen konzultace s vedoucím.",ne,"Předmět nemá přednášky ani studijní materiály. SIS anotace: „Náplň tohoto předmětu je určována vedoucím diplomové práce, typicky se odehrává fomou konzultací mezi vedoucím a studentem.“","O podmínkách rozhoduje vedoucí práce; SIS, celé znění pole Podmínky zakončení: „O podmínkách udělení zápočtu rozhoduje vedoucí diplomové práce.“","nerelevantni - není co dohánět samostudiem, jde o vlastní práci na diplomce pod vedením vedoucího","9 kr, 0/6, Z, semestr „oba“, zajišťuje Studijní oddělení (32-STUD). V plánu ZS3. Prostřední ze tří zápočtů za práci na diplomce; podmínky si stanoví vedoucí.",SIS (anotace + podmínky zakončení) + mff.cuni.cz „Průvodce po diplomové práci“ + mff.cuni.cz „Odevzdávání prací a přihlašování k SZZ“ + harmonogram 2026/2027
